species,confidence,date,time,start_s,filename,rank
Spotted Crake,0.992300271987915,2025-10-15,00:00:00,42288.0,245AAA0563ED3DA7_20251015_000000.WAV,2
Spotted Crake,0.991713285446167,2025-10-13,11:37:53,4251.0,245AAA0563ED3DA7_20251013_113753.WAV,3
Great Bittern,0.904094934463501,2025-10-14,00:00:00,42150.0,245AAA0563ED3DA7_20251014_000000.WAV,2
Great Bittern,0.8731499910354614,2025-10-14,12:25:26,3315.0,245AAA0563ED3DA7_20251014_122526.WAV,3
Lesser Spotted Woodpecker,0.3664405345916748,2025-10-14,12:25:26,30672.0,245AAA0563ED3DA7_20251014_122526.WAV,2
Lesser Spotted Woodpecker,0.3398704528808594,2025-10-14,00:00:00,37101.0,245AAA0563ED3DA7_20251014_000000.WAV,3
Tawny Owl,0.7819859385490417,2025-10-14,00:00:00,17649.0,245AAA0563ED3DA7_20251014_000000.WAV,2
Tawny Owl,0.741028904914856,2025-10-14,00:00:00,13308.0,245AAA0563ED3DA7_20251014_000000.WAV,3
Eurasian Pygmy-Owl,0.3332183957099914,2025-10-14,00:00:00,11226.0,245AAA0563ED3DA7_20251014_000000.WAV,2
Eurasian Pygmy-Owl,0.2907812595367431,2025-10-15,00:00:00,7959.0,245AAA0563ED3DA7_20251015_000000.WAV,3
Common Loon,0.5255117416381836,2025-10-13,11:37:53,25092.0,245AAA0563ED3DA7_20251013_113753.WAV,2
Common Loon,0.3938211500644684,2025-10-13,11:37:53,12612.0,245AAA0563ED3DA7_20251013_113753.WAV,3
Common Scoter,0.2956933379173279,2025-10-14,00:00:00,44604.0,245AAA0563ED3DA7_20251014_000000.WAV,2
Common Scoter,0.2773169577121734,2025-10-15,00:00:00,35697.0,245AAA0563ED3DA7_20251015_000000.WAV,3
